row_id,age_years,employment_length_years,annual_income_eur,loan_amount_eur,loan_duration_months,num_past_due,num_open_loans,credit_history_length_years,savings_balance_eur,checking_balance_eur,installment_rate_pct,debt_to_income_ratio,has_guarantor,housing_status,purpose,marital_status,education_level,num_dependents,has_phone,foreign_worker,commute_distance_km,digital_literacy_score,smartphone_usage_hours,online_purchase_count_last_month,late_night_activity_ratio,cash_withdrawal_ratio,returned_credit
1,37,2.7,63530,25383,48,0,2,15.7,5516,2233,7.63,0.81,0,own,business,married,primary,0,1,0,22.1,76.7,10.4,3,0.22,0.64,1
2,51,22.0,20626,9969,24,0,2,26.7,22412,693,18.14,0.75,0,rent,business,single,secondary,1,1,0,17.7,59.9,1.5,5,0.19,0.67,0
3,51,3.6,12999,11994,36,0,7,24.9,0,688,11.43,0.3,0,mortgage,home_improvement,married,secondary,2,1,0,4.3,36.9,2.5,1,0.27,0.44,1
4,58,0.1,51962,7525,48,0,0,29.6,19123,-324,3.44,0.34,0,free,home_improvement,married,secondary,0,1,0,3.3,61.6,1.9,4,0.14,0.52,1
5,22,4.1,16081,44044,36,3,2,5.3,12930,177,4.85,0.62,0,mortgage,furniture,married,tertiary,3,1,1,8.7,55.8,10.4,6,0.17,0.69,0
6,37,2.7,24945,2689,24,1,0,8.9,1867,130,4.45,0.76,0,mortgage,car,married,tertiary,1,1,1,5.9,79.4,2.1,3,0.21,0.58,1
7,24,29.9,17825,16171,48,0,2,0.0,885,1436,15.21,0.72,0,rent,car,single,secondary,0,1,0,13.3,53.3,4.1,5,0.7,0.65,0
8,41,11.0,52895,51853,36,1,0,18.3,6137,2895,12.37,0.65,0,mortgage,home_improvement,single,secondary,1,1,0,22.0,44.3,1.5,5,0.25,0.63,0
9,52,4.3,32774,11180,36,1,2,27.3,0,310,20.17,0.73,0,own,furniture,single,secondary,0,1,0,20.5,44.6,7.2,3,0.16,0.54,1
10,33,1.5,20317,4351,12,0,5,16.4,805,1556,15.31,0.58,0,own,business,married,primary,1,1,1,11.9,71.4,4.8,4,0.24,0.37,1
11,55,5.8,35118,8506,36,0,1,33.2,5496,-200,7.42,0.7,0,own,car,married,tertiary,2,1,0,14.3,64.4,6.3,5,0.32,0.77,1
